status	method	path_or_expression	source	line
planned	GET	/_nodes/{nodeId}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestNodesInfoAction.java	73
planned	GET	/_nodes/{nodeId}/{metrics}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestNodesInfoAction.java	74
planned	GET	/_nodes/{nodeId}/info/{metrics}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestNodesInfoAction.java	76
planned	GET	/_nodes/stats	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestNodesStatsAction.java	70
planned	GET	/_nodes/{nodeId}/stats	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestNodesStatsAction.java	71
planned	GET	/_nodes/stats/{metric}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestNodesStatsAction.java	72
planned	GET	/_nodes/{nodeId}/stats/{metric}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestNodesStatsAction.java	73
planned	GET	/_nodes/stats/{metric}/{index_metric}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestNodesStatsAction.java	74
planned	GET	/_nodes/{nodeId}/stats/{metric}/{index_metric}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestNodesStatsAction.java	75
planned	GET	/_nodes/usage	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestNodesUsageAction.java	68
planned	GET	/_nodes/{nodeId}/usage	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestNodesUsageAction.java	69
planned	GET	/_nodes/usage/{metric}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestNodesUsageAction.java	70
planned	GET	/_nodes/{nodeId}/usage/{metric}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestNodesUsageAction.java	71
planned	GET	/_cluster/pending_tasks	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestPendingClusterTasksAction.java	59
planned	POST	/_filecache/prune	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestPruneCacheAction.java	36
planned	POST	/_snapshot/{repository}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestPutRepositoryAction.java	63
planned	PUT	/_snapshot/{repository}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestPutRepositoryAction.java	63
planned	POST	/_scripts/{id}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestPutStoredScriptAction.java	65
planned	PUT	/_scripts/{id}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestPutStoredScriptAction.java	66
planned	POST	/_scripts/{id}/{context}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestPutStoredScriptAction.java	67
planned	PUT	/_scripts/{id}/{context}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestPutStoredScriptAction.java	68
